gene,barcode
Fzd6,................RR..GG....GGGG..
Fzd7,......GG........GG..BB........GG
Fzd8,....YY..............BB....YYBB..
G6pd2,..BBGG........YY..........BB....
Gadd45b,....GGYYRR..........RR..........
Gas6,GG............GGYY..........YY..
Gata3,..YY..YYBB........YY............
Gc,BB..RR..RR..RR..................
Gcg,..........BB..GG....YYGG........
Gdf15,GG................YY..GG....BB..
Gh,......GG......YY..GG....RR......
Glud1,..BB....RR............BB....BB..
Glul,......YY..RRBB............RR....
Gm13889,........GGRR......YYYY..........
Gpbar1,..RR..RRBB....................BB
Gper1,......RRBB......YY......YY......
Gpnmb,..BBBB..GG..............RR......
Gpr183,..............BBRRBB........BB..
Gpx1,..........GGRR..GG........BB....
Gpx3,..............YY........RRYYBB..
Gsn,........BB....YYRR....BB........
Gstp1/2,GGRR....GG............BB........
Gzma,..............GGRR........GG..BB
Gzmb,....BB..RR..GG............RR....
Gzmf,..GGGG............BB..RR........
Gzmg,....YYBB..................BBRR..
Gzmk,RRRR............BB..YY..........
H2-Aa,RR....RR......RR..............GG
H2-Ab1,....YY....RRYY....YY............
H2az1,..YY..BB........RR........RR....
H2-D1,..YY....GG..BB..........BB......
H2-DMa,..GG........BBGG............BB..
H2-DMb1,..RR........GGGG........GG......
H2-DMb2,..BB......GG..GG....RR..........
H2-Eb1,............GG......BB..YY..RR..
H2-K1,............GG....RRGG....BB....
H2-M3,........BB......YY....YY......YY
H2-Ob,..YY........BBBB..............YY
H2-Pa,..GG..RR..........YY..YY........
H2-Q1,......GG..........YYYY..YY......
H2-Q10,......BB....BBBB..........GG....
H2-Q2,....RRRR............BB....RR....
H2-T23,GG........GG......YY....RR......
Havcr2,GG..GG..YY............YY........
Hba-a1/2,GG............GG..RR....BB......
Hbb,......BB..BB..........RR......GG
Hcar2,........BB......RR..........YYBB
Hck,GG......RR..............YY....BB
Hcst,BB..........RRRR..........BB....
Hdac1,YY..................RRBBBB......
Hdac11,..BB......BB........YY..BB......
Hdac3,........RR..RR......GGGG........
Hdac4,..BB......GG..........GG....GG..
Hdac5,BB............YY..YY....YY......
Hey1,......RR........BB........RR..RR
Hgf,..GG....BB..........BB........GG
Hif1a,..............RR....RRYYRR......
Hilpda,......YYGG..BB......GG..........
Hmgb2,..........GG....BB..BB....RR....
Hpgds,RR................BB....YY....RR
Hsd17b2,..GGRR..................YYBB....
Hsp90aa1,YY....RR......GG............BB..
Hsp90ab1,....RR..............BB..RR....RR
Hsp90b1,YY....YY..............RR..YY....
Hspa1a,..BB..YY......RR......GG........
Hspa1b,....GG........RR....BB........GG
Hspb1,..BB..............GGRR..RR......
Htt,....YYBB..YY..........GG........
Iapp,..YYGG................GG..RR....
Ica1,..................YYRR..BBRR....
Icam1,..BB..GG..YY......GG............
Icam2,..BB....GG......GG..RR..........
Icos,..RRBB....YY................BB..
Icosl,......BB........YYGGBB..........
Ido1,..........RR........BB..GG....BB
Ier3,....GG....YY....RR........GG....
Ifi27,......BB................GGRR..BB
Ifi44l,..........BB..RR........YY..BB..
Ifih1,..........GG..YY....BB......GG..
Ifit1,....BB..YY..YY..............GG..
Ifit3/b,..YYRR....BBGG..................
Ifitm1,YY....BB..RRYY..................
Ifitm2,GG..YY......BB..............RR..
Ifitm3,BBYY..GG....................YY..
Ifna,....................GGGG..BB..BB
Ifnar1,........RR..GG......RR..BB......
Ifnar2,....GGYY..............GGRR......
Ifng,..YY..GG........GG......BB......
Ifngr1,......RR..YY..........BB......BB
Ifngr2,........RRRR....RRBB............
Ifnl2/3,..GGBB........YY......GG........
Igf1,....GG..YY......GG............YY
Igf1r,........GG..YYYY....RR..........
Igf2,....RR......GG........RR......RR
Igf2r,YY........BB........BBYY........
Igfbp3,........BBYY..............RRBB..
Igfbp5,....BB..............YY..GG....YY
Igfbp7,..BB..BB....YY..........BB......
Igha,..YY..BB............GGGG........
Ighd,....BB..YY........YY..........BB
Ighg1,RR........BB......YY..........BB
Ighm,RR........BB..........RR..GG....
Igkc,..................GG..RR..RR..BB
Ikzf3,BB......YY............GG....YY..
Il10,....BBGGBB..RR..................
Il10ra,..............BBGG..BB....GG....
Il10rb,............RR......YYBB......YY
Il11,RRBB..GG......YY................
Il11ra1/2,......GG......YYBB............YY
Il12a,..GG........GG....RR....BB......
Il12b,..............YYGG......YY....BB
Il12rb1,....YY............GGBB........BB
Il12rb2,..........RRBBYY..............RR
Il13ra1,BB..........BB..GG....YY........
Il15,....GG......RR....RR..........RR
Il15ra,......GG....YY......GG..RR......
Il16,..........RRYYGGGG..............
Il17a,RR....BB........YY......RR......
Il17b,..RR....YY......YY....RR........
Il17d,RR..............RRBBBB..........
Il17ra,RR............BBYY....YY........
Il17rb,..RR..........RRGG......RR......
Il17re,........GG..YY....YY........RR..
Il18,..GGBB....BB..................RR
Il18r1,..........BB..YY....RR....RR....
Il1a,GG............RRRR....GG........
Il1b,YY..........YY......YYGG........
Il1r1,BB......................BBRRRR..
Il1r2,..............BB....GG..RRRR....
Il1rap,GG....GG....RR..........GG......
